continent,num_open_ports,cdf
Africa,1,0.5665838942429251
Africa,2,0.77082418445209178
Africa,3,0.87751544331153575
Africa,4,0.927788379390465
Africa,5,0.95051752726033922
Africa,6,0.96452230197828759
Africa,7,0.97459072895624244
Africa,8,0.97953844393166356
Africa,9,0.98269497430328778
Africa,10,0.98655946173971132
Africa,11,0.9879806988547597
Africa,12,0.98912780221915264
Africa,13,0.99132619520984544
Africa,14,0.99239079229976923
Africa,15,0.99294438278652963
Africa,16,0.99335691415887517
Africa,17,0.9938040449366432
Africa,18,0.99416068496176768
Africa,19,0.99446941811784562
Africa,20,0.99477548978119867
Africa,21,0.99507091547365256
Africa,22,0.99529980384798622
Africa,23,0.99547280087509882
Africa,24,0.99565112088766106
Africa,25,0.99594388508739007
Africa,26,0.9977590231257103
Africa,27,0.99784419089290421
Africa,28,0.99816623151260619
Africa,29,0.99825406077252488
Africa,30,0.99829930614884665
Africa,31,0.99834189003244356
Africa,32,0.99837915093059093
Africa,33,0.99840044287238938
Africa,34,0.99841907332146307
Africa,35,0.99843504227781188
Africa,36,0.99845367272688557
Africa,37,0.99848028765413366
Africa,38,0.99849093362503294
Africa,39,0.998504241088657
Africa,40,0.998517548552281
Africa,41,0.99853351750862984
Africa,42,0.99853884049407948
Africa,43,0.99854682497225389
Africa,44,0.9985548094504284
Africa,45,0.99856013243587793
Africa,46,0.99857876288495162
Africa,47,0.9985894088558509
Africa,48,0.99859207034857567
Africa,49,0.99859473184130054
Africa,50,0.99860005482675018
Africa,51,0.99860537781219971
Africa,53,0.99860803930492459
Africa,54,0.99861070079764935
Africa,55,0.99861336229037423
Africa,56,0.99861868527582376
Africa,57,0.9986240082612734
Africa,58,0.99862666975399828
Africa,59,0.9986319927394478
Africa,60,0.99864263871034709
Africa,62,0.99864796169579673
Africa,63,0.99865062318852149
Africa,64,0.99865594617397113
Africa,65,0.99867989960849446
Africa,66,0.99868788408666886
Africa,67,0.99869320707211851
Africa,68,0.99869586856484327
Africa,69,0.998698530057568
Africa,70,0.99870385304301768
Africa,71,0.99870917602846732
Africa,72,0.998714499013917
Africa,73,0.99871716050664172
Africa,74,0.99872514498481624
Africa,75,0.998727806477541
Africa,76,0.99873046797026577
Africa,77,0.99873312946299064
Africa,78,0.99874377543388981
Africa,80,0.99874909841933945
Africa,81,0.99875442140478909
Africa,82,0.99876506737568838
Africa,83,0.99876772886841314
Africa,84,0.99877039036113791
Africa,85,0.99877305185386278
Africa,87,0.99877571334658755
Africa,89,0.99877837483931242
Africa,90,0.99878103633203719
Africa,93,0.99878635931748683
Africa,94,0.99879434379566123
Africa,95,0.998797005288386
Africa,96,0.99879966678111087
Africa,97,0.99880232827383564
Africa,99,0.99880498976656051
Africa,100,0.99881563573745968
Africa,101,0.998826281708359
Africa,102,0.99882894320108373
Africa,103,0.99883426618653337
Africa,104,0.99883692767925814
Africa,106,0.998839589171983
Africa,107,0.99884757365015742
Africa,108,0.99885289663560706
Africa,109,0.99886354260650634
Africa,110,0.9988662040992311
Africa,111,0.99886886559195587
Africa,113,0.99887152708468074
Africa,114,0.99888217305557991
Africa,116,0.99889015753375443
Africa,117,0.9988928190264792
Africa,119,0.998895480519204
Africa,121,0.99889814201192884
Africa,122,0.99890346499737848
Africa,124,0.99890612649010324
Africa,125,0.99891677246100252
Africa,126,0.99891943395372729
Africa,127,0.998922095446452
Africa,129,0.99892741843190169
Africa,130,0.99893007992462657
Africa,131,0.99893274141735133
Africa,132,0.998938064402801
Africa,133,0.99894604888097538
Africa,134,0.99894871037370014
Africa,135,0.998951371866425
Africa,136,0.99895403335914978
Africa,138,0.99895669485187466
Africa,139,0.99896467933004907
Africa,141,0.99896734082277383
Africa,142,0.99897266380822347
Africa,144,0.99897532530094824
Africa,145,0.99897798679367311
Africa,146,0.99898330977912275
Africa,147,0.99898597127184752
Africa,148,0.99898863276457239
Africa,150,0.99899129425729716
Africa,153,0.99899395575002192
Africa,155,0.9989966172427468
Africa,156,0.99899927873547156
Africa,161,0.99900194022819644
Africa,162,0.9990046017209212
Africa,166,0.999007263213646
Africa,168,0.99900992470637084
Africa,169,0.99901258619909561
Africa,179,0.99901524769182048
Africa,183,0.99901790918454525
Africa,185,0.99902323216999489
Africa,189,0.99902589366271966
Africa,190,0.99902855515544453
Africa,191,0.9990312166481693
Africa,193,0.99903653963361894
Africa,197,0.99904186261906858
Africa,198,0.99904452411179334
Africa,201,0.99904718560451811
Africa,202,0.99905250858996775
Africa,203,0.99905783157541739
Africa,205,0.999063154560867
Africa,206,0.99906581605359179
Africa,207,0.99906847754631667
Africa,208,0.9990738005317662
Africa,209,0.99907912351721584
Africa,211,0.99908444650266548
Africa,212,0.99908710799539024
Africa,215,0.99908976948811512
Africa,216,0.99909243098083989
Africa,217,0.99910041545901429
Africa,219,0.99910307695173917
Africa,220,0.99910573844446393
Africa,222,0.99910839993718881
Africa,223,0.99911106142991357
Africa,224,0.99912170740081285
Africa,225,0.99912703038626249
Africa,226,0.99913767635716166
Africa,227,0.99914566083533607
Africa,229,0.99915098382078571
Africa,230,0.99915364531351059
Africa,231,0.99915896829896012
Africa,232,0.999161629791685
Africa,234,0.9991696142698594
Africa,235,0.99917227576258416
Africa,236,0.999174937255309
Africa,237,0.9991775987480338
Africa,238,0.99918824471893308
Africa,239,0.99919090621165785
Africa,240,0.99919356770438272
Africa,245,0.99919889068983225
Africa,246,0.99920155218255713
Africa,247,0.99920421367528189
Africa,248,0.99921485964618117
Africa,251,0.99922018263163082
Africa,253,0.99922284412435558
