continent,num_open_ports,cdf
Africa,1,0.35710041592394531
Africa,2,0.56565656565656564
Africa,3,0.71598336304218657
Africa,4,0.81758764111705284
Africa,5,0.88175876411170528
Africa,6,0.92335115864527628
Africa,7,0.948306595365419
Africa,8,0.96672608437314322
Africa,9,0.97445038621509206
Africa,10,0.98039215686274506
Africa,11,0.98573975044563278
Africa,12,0.98692810457516345
Africa,13,0.988116458704694
Africa,14,0.98930481283422456
Africa,15,0.9910873440285205
Africa,16,0.99227569815805106
Africa,17,0.994058229352347
Africa,19,0.99524658348187756
Africa,20,0.995840760546643
Africa,21,0.99762329174093878
Africa,33,0.99821746880570406
Africa,440,0.99881164587046944
Africa,2287,0.99940582293523472
Africa,2927,1.0
Asia,1,0.21460176991150443
Asia,2,0.318952802359882
Asia,3,0.38495575221238937
Asia,4,0.43805309734513276
Asia,5,0.47898230088495575
Asia,6,0.4885693215339233
Asia,7,0.50663716814159288
Asia,8,0.519542772861357
Asia,9,0.52249262536873153
Asia,10,0.52433628318584069
Asia,11,0.52691740412979349
Asia,12,0.52949852507374628
Asia,13,0.53576696165191739
Asia,14,0.54129793510324486
Asia,15,0.55199115044247793
Asia,16,0.56784660766961648
Asia,17,0.59292035398230092
Asia,18,0.62352507374631272
Asia,19,0.65449852507374628
Asia,20,0.68510324483775809
Asia,21,0.71902654867256632
Asia,22,0.758480825958702
Asia,23,0.79498525073746318
Asia,24,0.8252212389380531
Asia,25,0.86393805309734517
Asia,26,0.894542772861357
Asia,27,0.9196165191740413
Asia,28,0.94174041297935107
Asia,29,0.95612094395280234
Asia,30,0.96828908554572268
Asia,31,0.97713864306784659
Asia,32,0.9834070796460177
Asia,33,0.98746312684365778
Asia,34,0.99262536873156337
Asia,35,0.99410029498525077
Asia,36,0.99520648967551617
Asia,37,0.99631268436578169
Asia,38,0.99778761061946908
Asia,111,0.99815634218289084
Asia,129,0.99852507374631272
Asia,319,0.99889380530973448
Asia,363,0.99926253687315636
Asia,456,0.99963126843657812
Asia,488,1.0
Europe,1,0.41304742867526806
Europe,2,0.652734871888061
Europe,3,0.83136471015809554
Europe,4,0.89333091041250223
Europe,5,0.93276394693803377
Europe,6,0.95638742504088681
Europe,7,0.96874432127930221
Europe,8,0.97764855533345452
Europe,9,0.98200981282936584
Europe,10,0.98600763220061782
Europe,11,0.98836998001090315
Europe,12,0.99164092313283658
Europe,13,0.99327639469380336
Europe,14,0.9945484281301108
Europe,15,0.99563874250408868
Europe,16,0.9960021806287479
Europe,17,0.9965473378157369
Europe,18,0.99672905687806646
Europe,19,0.99727421406505545
Europe,20,0.997455933127385
Europe,21,0.99781937125204434
Europe,22,0.99818280937670356
Europe,24,0.99836452843903323
Europe,25,0.99872796656369256
Europe,26,0.99909140468835178
Europe,187,0.99927312375068145
Europe,195,0.99945484281301111
Europe,203,0.99963656187534067
Europe,233,0.99981828093767033
Europe,256,1.0
North America,1,0.53657385559226045
North America,2,0.74320771253286588
North America,3,0.85754736061484527
North America,4,0.9162677812984561
North America,5,0.9471448796602171
North America,6,0.9592125665745298
North America,7,0.96804422571293736
North America,8,0.97572979168071194
North America,9,0.97943774017393648
North America,10,0.98301085417649836
North America,11,0.98557270949908982
North America,12,0.98678621991505422
North America,13,0.98820198206701271
North America,14,0.989213240746983
North America,15,0.99002224769095937
North America,16,0.9908312546349356
North America,17,0.99150542708824918
North America,18,0.99211218229623133
North America,19,0.99231443403222541
North America,20,0.99244926852288817
North America,21,0.992988606485539
North America,22,0.99305602373087032
North America,23,0.99346052720285849
North America,24,0.99352794444818981
North America,25,0.99379761342951523
North America,26,0.99399986516550931
North America,27,0.99406728241084075
North America,28,0.9942021169015034
North America,34,0.99426953414683472
North America,35,0.99440436863749748
North America,36,0.99447178588282881
North America,38,0.99453920312816013
North America,58,0.99460662037349157
North America,62,0.99467403761882289
North America,85,0.99474145486415422
North America,88,0.99480887210948565
North America,91,0.994876289354817
North America,109,0.9949437066001483
North America,112,0.99501112384547963
North America,120,0.99507854109081106
North America,121,0.99514595833614239
North America,129,0.99521337558147371
North America,137,0.99528079282680515
North America,161,0.99534821007213647
North America,170,0.9954156273174678
North America,221,0.99548304456279912
North America,278,0.99555046180813056
North America,299,0.99561787905346188
North America,348,0.99568529629879321
North America,352,0.99575271354412453
North America,380,0.995820130789456
North America,399,0.9958875480347873
North America,403,0.99595496528011862
North America,406,0.99602238252545006
North America,407,0.99608979977078138
North America,420,0.99615721701611271
North America,421,0.996224634261444
North America,422,0.99629205150677547
North America,423,0.99635946875210679
North America,424,0.99642688599743812
North America,430,0.99649430324276955
North America,431,0.9966291377334322
North America,432,0.99669655497876353
North America,436,0.99683138946942629
North America,440,0.99689880671475761
North America,441,0.99703364120542037
North America,446,0.997168475696083
North America,447,0.99723589294141446
North America,450,0.99730331018674578
North America,451,0.99737072743207711
North America,456,0.99743814467740843
North America,457,0.99750556192273987
North America,458,0.99757297916807119
North America,460,0.997707813658734
North America,461,0.99777523090406528
North America,462,0.9978426481493966
North America,464,0.99791006539472793
North America,465,0.99797748264005937
North America,466,0.998112317130722
North America,467,0.99817973437605334
North America,468,0.99824715162138478
North America,470,0.9983145688667161
North America,471,0.99851682060271019
North America,472,0.99858423784804151
North America,473,0.99865165509337284
North America,474,0.99871907233870427
North America,476,0.99885390682936692
North America,477,0.99898874132002968
North America,478,0.999056158565361
North America,479,0.99912357581069233
North America,480,0.99919099305602377
North America,482,0.99925841030135509
North America,483,0.99932582754668642
North America,484,0.9995280792826805
North America,489,0.99959549652801183
North America,496,0.99966291377334326
North America,500,0.99973033101867459
North America,501,0.99979774826400591
North America,504,0.99986516550933724
North America,2556,0.99993258275466868
North America,2660,1.0
Oceania,1,0.59332770270270274
Oceania,2,0.79138513513513509
Oceania,3,0.88555743243243246
Oceania,4,0.92018581081081086
Oceania,5,0.94467905405405406
Oceania,6,0.96030405405405406
Oceania,7,0.9776182432432432
Oceania,8,0.98690878378378377
Oceania,9,0.99197635135135132
Oceania,10,0.99493243243243246
Oceania,11,0.995777027027027
Oceania,12,0.997043918918919
Oceania,13,0.99746621621621623
Oceania,20,0.99788851351351349
Oceania,25,0.99831081081081086
Oceania,106,0.99873310810810811
Oceania,325,0.99915540540540537
Oceania,482,0.99957770270270274
Oceania,529,1.0
South America,1,0.244011234098794
South America,2,0.52106393523872463
South America,3,0.7176606641334875
South America,4,0.86271270444407733
South America,5,0.92466545514620846
South America,6,0.94663803072856434
South America,7,0.96282834957872132
South America,8,0.97422765570791348
South America,9,0.982818437138609
South America,10,0.98810507186519081
South America,11,0.99074838922848174
South America,12,0.99223525524533285
South America,13,0.99306129192136128
South America,14,0.99405253593259546
South America,15,0.99553940194944657
South America,16,0.9960350239550636
South America,17,0.99620023129026924
South America,18,0.99653064596068064
South America,19,0.99702626796629767
South America,20,0.99752188997191471
South America,21,0.9978523046423261
South America,22,0.9981827193127375
South America,23,0.99867834131835453
South America,24,0.99884354865356018
South America,27,0.99900875598876593
South America,29,0.99917396332397157
South America,30,0.99933917065917732
South America,31,0.999504377994383
South America,68,0.99966958532958861
South America,140,0.99983479266479436
South America,935,1.0
