country,hosts_with_nonstandard_ports,total_hosts,proportion_nonstandard,pct_http,pct_https,pct_ssh,pct_ftp,pct_telnet,pct_smtp,pct_imap,pct_pop3,pct_dns,pct_mysql,pct_rdp,pct_mongodb,pct_redis,pct_postgresql,pct_vnc
Singapore,3,3,1.0,1.0,,,,,,,,,,,,,,
Azerbaijan,1,1,1.0,1.0,,,,,,,,,,,,,,
Slovenia,2,2,1.0,0.33333333333333331,,0.66666666666666663,,,,,,,,,,,,
Tuvalu,7,7,1.0,1.0,,,,,,,,,,,,,,
Cook Islands,1,1,1.0,1.0,,,,,,,,,,,,,,
Luxembourg,1,1,1.0,1.0,,,,,,,,,,,,,,
Albania,3,3,1.0,1.0,,,,,,,,,,,,,,
Malta,10,12,0.83333333333333337,0.76470588235294112,,0.11764705882352941,,,0.058823529411764705,,,,,,,,,0.058823529411764705
Sweden,10,12,0.83333333333333337,1.0,,,,,,,,,,,,,,
Tonga,14,17,0.82352941176470584,0.69230769230769229,,0.30769230769230771,,,,,,,,,,,,
Barbados,4,5,0.8,1.0,,,,,,,,,,,,,,
Botswana,50,64,0.78125,1.0,,,,,,,,,,,,,,
El Salvador,14,18,0.77777777777777779,0.94736842105263153,,,,,,,,,0.052631578947368418,,,,,
France,987,1285,0.76809338521400783,0.86254071661237786,,0.11205211726384365,0.0013029315960912053,0.0019543973941368079,0.0058631921824104233,0.0026058631921824105,0.0013029315960912053,,,0.0071661237785016286,,,,0.0052117263843648211
Swaziland,19,25,0.76,0.91428571428571426,,0.028571428571428571,,,0.057142857142857141,,,,,,,,,
Saint Martin,12,16,0.75,0.85185185185185186,,0.07407407407407407,0.037037037037037035,,,,,,,0.037037037037037035,,,,
Fiji,29,40,0.725,0.87804878048780488,,0.12195121951219512,,,,,,,,,,,,
Saint Barthelemy,5,7,0.7142857142857143,0.9,,0.1,,,,,,,,,,,,
U.S. Virgin Islands,10,14,0.7142857142857143,0.94444444444444442,,,,,,,,,,,,,,0.055555555555555552
Peru,562,795,0.70691823899371065,0.41100786275911366,,0.015725518227305217,,0.016440314510364547,0.00071479628305932811,0.00071479628305932811,0.00071479628305932811,,,0.55325232308791994,,,,0.0014295925661186562
Chile,1434,2056,0.69747081712062253,0.96611111111111114,,0.027222222222222221,0.00055555555555555556,,0.0011111111111111111,,,,,0.005,,,,
Guadeloupe,9,13,0.69230769230769229,0.91666666666666663,,0.083333333333333329,,,,,,,,,,,,
Brazil,733,1072,0.683768656716418,0.76798561151079137,,0.1906474820143885,0.0017985611510791368,0.025179856115107913,0.0026978417266187052,,,,0.00089928057553956839,0.0080935251798561151,,,,0.0026978417266187052
Haiti,78,117,0.66666666666666663,0.9625,,0.03125,,,,,,,,0.00625,,,,
Samoa,2,3,0.66666666666666663,1.0,,,,,,,,,,,,,,
Jamaica,91,138,0.65942028985507251,0.90526315789473688,,0.094736842105263161,,,,,,,,,,,,
Honduras,18,28,0.6428571428571429,0.87878787878787878,,,,,,,,,0.060606060606060608,,,,,0.060606060606060608
Malawi,64,100,0.64,0.53658536585365857,,0.35365853658536583,,0.0975609756097561,,,,,,,,,,0.012195121951219513
Zambia,75,118,0.635593220338983,0.04694167852062589,,0.94879089615931722,,,0.00071123755334281653,0.00035561877667140827,0.00035561877667140827,,0.00071123755334281653,0.0021337126600284497,,,,
Greece,86,136,0.63235294117647056,0.91558441558441561,,0.012987012987012988,,0.01948051948051948,0.01948051948051948,0.0064935064935064939,0.0064935064935064939,,,0.0064935064935064939,,,,0.012987012987012988
Italy,256,409,0.62591687041564792,0.86095238095238091,,0.045714285714285714,0.0057142857142857143,0.034285714285714287,0.017142857142857144,0.007619047619047619,0.0019047619047619048,,0.0019047619047619048,0.0057142857142857143,,,,0.019047619047619049
Solomon Islands,10,16,0.625,1.0,,,,,,,,,,,,,,
Mayotte,24,39,0.61538461538461542,1.0,,,,,,,,,,,,,,
Belgium,67,109,0.61467889908256879,0.87234042553191493,,0.010638297872340425,,,0.010638297872340425,0.010638297872340425,,,,0.095744680851063829,,,,
Ecuador,155,254,0.610236220472441,0.68181818181818177,,0.29545454545454547,,0.015151515151515152,,,,,,0.007575757575757576,,,,
Philippines,230,377,0.610079575596817,0.64985163204747776,,0.314540059347181,,,0.0059347181008902079,,,,,,,,,0.02967359050445104
Bahamas,47,78,0.60256410256410253,0.9,,0.018181818181818181,,,,,,,0.00909090909090909,0.072727272727272724,,,,
Switzerland,12,20,0.6,0.9375,,,,,,,,,,0.0625,,,,
Uruguay,15,25,0.6,0.90909090909090906,,0.045454545454545456,,,,,,,,0.045454545454545456,,,,
