country,hosts_with_nonstandard_ports,total_hosts,proportion_nonstandard,pct_http,pct_https,pct_ssh,pct_ftp,pct_telnet,pct_smtp,pct_imap,pct_pop3,pct_dns,pct_mysql,pct_rdp,pct_mongodb,pct_redis,pct_postgresql,pct_vnc
Belize,9000,10000,0.9,0.99518799445395967,,0.0017943071527607862,0.00024467824810374357,0.0008971535763803931,0.0008971535763803931,0.00040779708017290596,0.00024467824810374357,,,8.15594160345812e-05,,,,0.00024467824810374357
Northern Mariana Islands,26,29,0.896551724137931,1.0,,,,,,,,,,,,,,
Antarctica,632,708,0.89265536723163841,0.99605781865965837,,0.0039421813403416554,,,,,,,,,,,,
Montserrat,34,39,0.87179487179487181,0.94871794871794868,,,,,,0.02564102564102564,0.02564102564102564,,,,,,,
French Guiana,7151,8253,0.86647279777050767,0.97564738292011022,,0.0055096418732782371,0.00044077134986225897,0.0051790633608815428,0.0034159779614325067,0.0012121212121212121,0.00077134986225895321,,0.00066115702479338848,0.0059504132231404955,,,,0.0012121212121212121
France,8560,10000,0.856,0.94123793412279833,,0.018658572992337547,0.0021395163697880385,0.00089561150363220217,0.017663449099412878,0.008757090257737089,0.0073639168076425517,,0.00074634291969350179,0.00084585530898596871,0.00014926858393870038,,,0.0015424420340332372
Macao,8556,10000,0.8556,0.9707062600321027,,0.01698769395398609,0.0010032102728731941,0.0026083467094703051,0.0026083467094703051,0.00080256821829855537,0.0006019261637239165,,0.00033440342429106473,0.0018057784911717496,,,,0.0025414660246120919
Panama,8470,10000,0.847,0.96362470221733554,,0.010995052226498075,0.0019241341396371632,0.0029320139270661537,0.0092541689573025464,0.0043063954553784131,0.0036650174088326921,0.00018325087044163461,9.16254352208173e-05,0.0020157595748579804,,9.16254352208173e-05,,0.000916254352208173
New Zealand,8386,10000,0.8386,0.91588598764201712,,0.0049830576041459042,0.0015945784333266893,0.00029898345624875422,0.0049830576041459042,0.0021925453458241976,0.0015945784333266893,,,0.067570261112218463,,,,0.00089695036874626267
Saint Martin,3799,4594,0.826948193295603,0.9748361175724255,,0.011207443434129837,0.00084584478748149711,0.0038063015436667373,0.0012687671812222456,0.00063438359061112281,0.00063438359061112281,,0.00021146119687037428,0.0057094523155001055,,,,0.00084584478748149711
Dominica,5192,6280,0.82675159235668794,0.91918158567774932,,0.07860187553282183,0.00017050298380221653,,0.0010230179028132991,0.00034100596760443307,,,,0.00051150895140664957,,,,0.00017050298380221653
Turks and Caicos Islands,4326,5319,0.81331077270163565,0.93444307439375252,,0.060624743115495275,0.00041101520756267981,0.0018495684340320592,0.00041101520756267981,0.0002055076037813399,0.0002055076037813399,,,0.0016440608302507192,,,,0.0002055076037813399
Moldova,8097,10000,0.8097,0.85615825277479418,,0.053974221267454353,0.00053705692803437163,0.0017006802721088435,0.039831722162549231,0.013694951664876477,0.011099176512710347,8.9509488005728614e-05,0.00071607590404582891,0.02121374865735768,,,,0.00098460436806301478
British Virgin Islands,7250,8993,0.8061825864561325,0.93480157905672134,,0.00095574485767712443,0.0001246623727404945,0.0001246623727404945,0.000249324745480989,4.15541242468315e-05,4.15541242468315e-05,,,0.00062331186370247248,0.063037606482443387,,,
Niue,20,25,0.8,0.96875,,0.03125,,,,,,,,,,,,
Curacao,7957,10000,0.7957,0.97579738957558992,,0.0058777768173567295,0.0015558820987120754,0.0039761431411530811,0.0061370905004754081,0.002074509464949434,0.0013830063099662892,,,0.002333823148068113,,,,0.00086437894372893079
Cayman Islands,7938,10000,0.7938,0.98489759326942972,,0.012757740845458934,0.00013792152265361008,0.00055168609061444034,0.00068960761326805045,0.00020688228398041514,,,,0.00075856837459485551,,,,
United Kingdom,7759,10000,0.7759,0.95997849131971114,,0.015132892917498848,0.00069135043785527729,0.00038408357658626519,0.011061607005684437,0.0055308035028422183,0.0041481026271316642,,,0.0024581348901520973,,,,0.00061453372253802432
Sint Maarten,1575,2039,0.77243746934771951,0.98072170044488383,,0.0093919920909540291,,,0.0024715768660405341,0.00049431537320810673,0.00049431537320810673,,0.00098863074641621345,0.004448838358872961,,,,0.00098863074641621345
Hong Kong,7640,10000,0.764,0.87539027653880463,,0.090321141837644961,0.0013380909901873326,0.00027876895628902766,0.0028713202497769848,0.0011150758251561106,0.00131021409455843,,0.0012823371989295273,0.021576717216770739,0.00019513826940231936,8.3630686886708289e-05,,0.00423728813559322
Jersey,7637,10000,0.7637,0.97172298106877542,,0.0051521687035705728,0.00059908938413611313,0.012580877066858375,0.0016774502755811168,0.00083872513779055839,0.00059908938413611313,,,0.0063503474718427993,,,,0.00047927150730889051
Namibia,7413,10000,0.7413,0.93259878419452891,,0.041413373860182373,0.0012158054711246201,0.0090425531914893609,0.0068389057750759879,0.00303951367781155,0.0010638297872340426,7.5987841945288759e-05,7.5987841945288759e-05,0.0040273556231003038,,,,0.00060790273556231007
Liechtenstein,7412,10000,0.7412,0.96370389678092,,0.0076241365828228855,0.001759416134497589,0.00097745340805421616,0.017268343542291151,0.0038446500716799166,0.0026717059820148574,0.0008471262869803206,0.00019549068161084322,0.00091228984751726833,,,,0.00019549068161084322
Bahamas,7377,10000,0.7377,0.97538653539485543,,0.0081813769673438255,0.00083200443735699926,0.000762670734243916,0.0057546973583859117,0.0023573459058448313,0.001802676280940165,0.00013866740622616653,0.0013866740622616653,0.0019413436871663315,,,,0.0014560077653747487
Turkey,7351,10000,0.7351,0.919034019740468,,0.021443960118242397,0.00075154065834961666,0.0022546219750488503,0.025752793226113534,0.011373315296357532,0.0095696177163184532,0.00060123252667969339,0.00070143794779297557,0.0045593466606543417,0.00015030813166992335,0.00010020542111328223,,0.0037076005811914423
Dominican Republic,7344,10000,0.7344,0.74143904063957367,,0.011125916055962692,0.0014656895403064624,0.014723517654896736,0.20986009327115257,0.00033311125916055963,0.00033311125916055963,,0.0013324450366422385,0.019120586275816122,,6.6622251832111927e-05,,0.00019986675549633578
Poland,7336,10000,0.7336,0.873908242144363,,0.029013151290031122,0.0013050898504166249,0.0034635076799518121,0.040056219255094873,0.020831241843188436,0.017166951109326374,,0.0075795602851119366,0.0033129203895191244,0.00015058729043268749,,,0.0032125288625639995
Malta,7329,10000,0.7329,0.64069142985007832,,0.35007831729693445,0.00044752741105392703,0.0013985231595435221,0.0027970463190870442,0.00089505482210785407,0.00067129111658089063,,5.5940926381740879e-05,0.0025732826135600804,,,,0.00039158648467218615
